package_name,weekly_downloads
postcss-normalize-charset,4481540
postcss-discard-overridden,4480061
ua-parser-js,4470595
@jest/source-map,4467643
stack-trace,4467304
json-stable-stringify,4466966
unzip-response,4458478
contains-path,4457295
html-comment-regex,4428337
@jest/fake-timers,4425584
jsx-ast-utils,4423043
dateformat,4416325
http-cache-semantics,4397522
rechoir,4395396
css-color-names,4390722
picomatch,4390455
node-modules-regexp,4354971
@mrmlnc/readdir-enhanced,4341514
@types/istanbul-lib-coverage,4332230
vendors,4330524
capture-stack-trace,4316750
semver-diff,4299470
utila,4284621
infer-owner,4262748
@jest/transform,4261835
@babel/preset-react,4258690
block-stream,4253655
randomatic,4236386
node-sass,4229716
moment-timezone,4224205
acorn-dynamic-import,4213725
object.omit,4201654
create-error-class,4193594
@babel/plugin-syntax-jsx,4191929
diff-sequences,4189557
relateurl,4186424
stable,4181576
object.fromentries,4176340
icss-replace-symbols,4173750
csstype,4151866
socket.io-parser,4133702
array-filter,4116233
@types/babel__traverse,4115315
uniqs,4102023
is-redirect,4101789
alphanum-sort,4100118
is-regexp,4098510
fastparse,4079166
isomorphic-fetch,4073753
pend,4061338
detect-file,4048565
boom,4041908
@jest/environment,4034812
@types/babel__core,4032966
tar-stream,4021928
ultron,4015786
@cnakazawa/watch,4000802
renderkid,3991055
make-error,3985605
regex-cache,3984138
p-cancelable,3971007
unquote,3970166
@types/babel__generator,3962977
@types/react,3961997
is-dotfile,3959034
jest-pnp-resolver,3958338
dom-converter,3948999
react-transition-group,3943247
@babel/plugin-transform-react-jsx,3942729
glob-base,3937746
parse-glob,3936219
css-selector-tokenizer,3936199
is-primitive,3935938
@types/stack-utils,3934892
p-each-series,3932733
pretty-error,3929956
filename-regex,3929919
@jest/core,3926883
@jest/reporters,3922858
@babel/helper-builder-react-jsx,3920505
is-equal-shallow,3910132
is-posix-bracket,3905453
mixin-object,3903840
lodash.keys,3899042
classnames,3898365
is-arguments,3892721
address,3889522
css-select-base-adapter,3888179
preserve,3880810
buffer-alloc-unsafe,3866116
@types/istanbul-reports,3865832
@types/istanbul-lib-report,3865346
xregexp,3862372
@jest/test-sequencer,3848411
true-case-path,3846071
winston,3839638
@babel/plugin-transform-react-display-name,3839547
pluralize,3813695
open,3803671
@types/babel__template,3800881
in-publish,3791783
cheerio,3779463
redux,3771275
@types/lodash,3771001
socket.io-client,3752699
dom-helpers,3746126
split,3744997
buffer-alloc,3741011
sass-graph,3740091
stdout-stream,3737811
babel-plugin-macros,3732708
cli-spinners,3725132
buffer-fill,3720645
engine.io-client,3715189
lodash.debounce,3708814
scss-tokenizer,3707551
http-proxy-agent,3697647
word-wrap,3691076
decompress-response,3684973
aws-sdk,3670302
